Turkish,English
parti,party
tarih,history
arama,search
sadece,only
polis,police
istek,request
ay,month
koymak,put
tasma,leash
onlar,them
biri,each
geldi,came
gerekir,should
bebek,baby
saatler,hours
meydan,square
biliyordum,knew
dikkat,warning
yapabilirdim,could
dava,case
vermek,give
tip,type
verilen,given
tren,train
yer,place
yol,way
dinle,listen
kimin,whose
bulmak,find
ilk,first
el,hand
taraf,side
ol,be
sabah,morning
fazla,so
nokta,point
sonra,after
dilerim,sorry
git,go
dakika,minute
oda,room
hukuk,law
isterdim,would
koca,husband
neden,why
nihayet,finally
etmek,hope
su,water
kalmak,being
haber,new
durdurmak,stop
hesap,account
uzak,far
son,end
inanmak,believe
olacak,will
oynamak,play
ofis,office
